"Name","7d","fft","im2col","winograd"
"N:8, C:3, H:20, W:20, M:1, R:11, S:11","16098.87409210205","1.704692840576172","5.543947219848633","2.0248889923095703"
"N:8, C:1, H:20, W:20, M:1, R:11, S:11","5577.772855758667","1.5490055084228516","3.122091293334961","1.0051727294921875"
"N:8, C:3, H:20, W:20, M:1, R:8, S:8","14952.05044746399","1.8696784973144531","5.200624465942383","1.8520355224609375"
"N:8, C:1, H:20, W:20, M:1, R:8, S:8","5168.968200683594","1.469135284423828","2.03704833984375","1.0128021240234375"
"N:8, C:3, H:20, W:20, M:4, R:5, S:5","36288.079023361206","2.2916793823242188","1.7766952514648438","5.923986434936523"
"N:8, C:1, H:20, W:20, M:4, R:5, S:5","12103.665113449097","1.8644332885742188","1.5659332275390625","2.5768280029296875"
"N:8, C:3, H:20, W:20, M:1, R:5, S:5","8917.232751846313","1.967191696166992","1.7533302307128906","1.8651485443115232"
"N:8, C:3, H:20, W:20, M:1, R:5, S:5","8727.406978607178","3.0488967895507812","1.684427261352539","2.106189727783203"
"N:8, C:6, H:10, W:10, M:4, R:5, S:5","9734.909772872925","1.652240753173828","1.3539791107177734","8.346319198608398"
"N:8, C:3, H:10, W:10, M:4, R:5, S:5","5044.828414916992","1.5511512756347656","1.0616779327392578","4.696369171142578"
"N:8, C:6, H:10, W:10, M:1, R:5, S:5","2407.067060470581","1.4200210571289062","1.213788986206055","2.8705596923828125"
"N:8, C:3, H:10, W:10, M:1, R:5, S:5","1195.9490776062012","1.294851303100586","1.1332035064697266","1.9481182098388672"
"N:8, C:3, H:10, W:10, M:8, R:3, S:3","6411.7186069488525","1.573324203491211","0.7359981536865234","9.05299186706543"
"N:8, C:1, H:10, W:10, M:8, R:3, S:3","2300.2052307128906","1.7697811126708984","0.8897781372070312","6.697893142700195"
"N:8, C:3, H:10, W:10, M:2, R:3, S:3","1568.1841373443604","1.3506412506103516","0.7483959197998047","2.712249755859375"
"N:8, C:1, H:10, W:10, M:2, R:3, S:3","613.4312152862549","1.253366470336914","0.8256435394287109","1.3327598571777344"
"N:8, C:3, H:10, W:10, M:4, R:3, S:3","3190.9115314483643","1.514911651611328","0.7481575012207031","4.641532897949219"
"N:8, C:1, H:10, W:10, M:4, R:3, S:3","1224.0557670593262","1.6057491302490234","1.1186599731445312","3.251791000366211"
"N:8, C:3, H:10, W:10, M:1, R:3, S:3","834.2435359954834","1.227617263793945","0.6589889526367188","1.5892982482910156"
"N:8, C:1, H:10, W:10, M:1, R:3, S:3","315.82164764404297","82.92269706726074","2.34842300415039","2.355813980102539"